trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
41,2025-08-02 07:35:40,4096,0.04255463573180525,1,50,25,16,16,0.01,0.01,0.01,0.01,0.0005,0.0001,0.001,0.001,logistic_regression,0.11024378823663256,0.2832651105083962,0.7600134940340914,0.10047707952680075,0.26139566870561315,0.9324917493265716,0.4987755171157485,0.0859673990077959,0.3944314536883233,0.14116705720734948,0.4987755171157485,0.0859673990077959,0.3944314536883233,0.14116705720734948,55.62785506248474
42,2025-08-02 07:36:34,4096,0.0357300430335821,1,50,25,16,16,0.01,0.01,0.01,0.01,0.0005,0.0001,0.001,0.001,logistic_regression,0.10993696551894505,0.28347263017126384,0.7617443865593747,0.10233457012589968,0.2643467310878261,0.9292237063123755,0.49799382117023083,0.08529411764705884,0.3965808705562049,0.14039332298992666,0.49799382117023083,0.08529411764705884,0.3965808705562049,0.14039332298992666,53.72895383834839
43,2025-08-02 07:37:28,4096,0.019917574367715588,1,50,25,16,16,0.01,0.01,0.01,0.01,0.0005,0.0001,0.001,0.001,logistic_regression,0.10970374059662395,0.28277173558674074,0.7611666083070885,0.10126847495360346,0.26252682147056905,0.9309994133121943,0.49686183576226645,0.08550673281360738,0.400248532419661,0.140910235133371,0.49686183576226645,0.08550673281360738,0.400248532419661,0.140910235133371,54.009690284729004
44,2025-08-02 07:38:22,4096,0.01742182096734521,1,0.5,25,16,16,0.01,0.01,0.01,0.01,0.0005,5e-05,0.001,0.001,logistic_regression,0.10956257896368202,0.28507551952843313,0.7634866284150946,0.10407207169212146,0.2682903709859397,0.9271994042856608,0.4974681224002115,0.08642806520198441,0.39905248519105807,0.14208327885096242,0.4974681224002115,0.08642806520198441,0.39905248519105807,0.14208327885096242,53.89373326301575
45,2025-08-02 07:39:08,4096,0.017510383355285215,1,0.5,25,32,16,0.01,0.01,0.01,0.01,0.0005,5e-05,0.01,0.001,logistic_regression,0.11997722639121915,0.3158513037769139,0.7717924086683442,0.13452307779643213,0.3226966710114623,0.8682582104560039,0.49739288681735855,0.08582565556343019,0.38978958053257207,0.1406765121975606,0.49739288681735855,0.08582565556343019,0.38978958053257207,0.1406765121975606,46.78822588920593
46,2025-08-02 07:39:55,4096,0.017238926403314245,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.0005,5e-05,0.01,0.001,logistic_regression,0.12124108468265457,0.31837157921120973,0.7667267418466386,0.1278349323550647,0.31584922994320247,0.8899418748912329,0.4875539914025354,0.08299078667611623,0.3765274301707807,0.13600465221782873,0.4875539914025354,0.08299078667611623,0.3765274301707807,0.13600465221782873,46.7716338634491
47,2025-08-02 07:40:37,4096,0.01666975440685452,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.001,5e-05,0.01,0.001,mlp,0.16080942509895593,0.38921689927635483,0.7106445075144165,0.17480112142587645,0.3969282694192234,0.7837376141628288,0.4325697255390178,0.060666194188518784,0.30248761216632736,0.1010633615739817,0.4325697255390178,0.060666194188518784,0.30248761216632736,0.1010633615739817,41.81670355796814
48,2025-08-02 07:41:31,4096,0.01637541830902432,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.0001,5e-05,0.01,0.001,logistic_regression,0.12896219651447624,0.24864649713770529,0.6780672165996073,0.02332771667359945,0.10489947997303309,0.9991175288745464,0.4617504222836261,0.07877391920623672,0.37038512631152365,0.12991695617138388,0.4617504222836261,0.07877391920623672,0.37038512631152365,0.12991695617138388,54.219518184661865
49,2025-08-02 07:42:18,4096,0.01006639267006725,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.0005,5e-05,0.01,0.001,logistic_regression,0.12096761042572919,0.31807965594618715,0.7683720919975408,0.12649806074876133,0.31450765510544426,0.893496621493584,0.493261950920515,0.08412473423104183,0.383119595959458,0.13795709056823924,0.493261950920515,0.08412473423104183,0.383119595959458,0.13795709056823924,46.778640031814575
50,2025-08-02 07:43:00,4096,0.011103816233252583,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.005,5e-05,0.01,0.001,logistic_regression,0.2500000029837508,0.500000002983464,0.5063900578768928,0.2499999221098735,0.4999999221088762,0.5930911185753887,0.283146285288481,0.05116938341601701,0.2041167743492162,0.08182605417972322,0.283146285288481,0.05116938341601701,0.2041167743492162,0.08182605417972322,42.37725329399109
51,2025-08-02 07:43:47,4096,0.017356294378811747,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.0005,5e-05,0.01,0.001,logistic_regression,0.12148694065043729,0.31865987825087466,0.7692607367499971,0.1268274837750108,0.3148264320604592,0.8924942384172921,0.4943943648321813,0.08419560595322467,0.3815916342413709,0.1379528509978547,0.4943943648321813,0.08419560595322467,0.3815916342413709,0.1379528509978547,46.801342487335205
52,2025-08-02 07:44:33,4096,0.010449276890624151,1,0.5,10,32,32,0.01,0.01,0.01,0.01,0.0005,5e-05,0.01,0.001,logistic_regression,0.12116549970374894,0.3183441383525784,0.7707873142259329,0.1268593949093111,0.3148410827649851,0.8922090840674086,0.4947334881346215,0.08398299078667612,0.381038408818919,0.137631279783469,0.4947334881346215,0.08398299078667612,0.381038408818919,0.137631279783469,45.97221565246582
