trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,dropout_rate,grad_clip_norm,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
13,2025-08-03 18:11:32,4096,0.08402963468894904,6,50,50,64,16,0.01,0.005,0.005,0.01,0.01,5e-05,0.001,0.0005,0.4,1.0,logistic_regression,0.2500011820938561,0.500001003887564,0.5342639088944358,0.2500025319242297,0.5000021169196791,0.5207641872978578,0.4409953112744808,0.06257973068745572,0.34787109432870095,0.10607691869633193,0.4409953112744808,0.06257973068745572,0.34787109432870095,0.10607691869633193,92.66090607643127
14,2025-08-03 18:12:52,4096,0.04770702278350777,6,50,10,16,16,0.01,0.005,0.005,0.01,0.0001,5e-05,0.001,0.0005,0.4,1.0,logistic_regression,0.250160313764967,0.5000157788332644,0.545804743117875,0.24678627140514134,0.4965489309623009,0.7017307446268735,0.440128393748429,0.06722182849043232,0.3681525282258064,0.11368554775422375,0.440128393748429,0.06722182849043232,0.3681525282258064,0.11368554775422375,80.70916175842285
16,2025-08-03 18:14:57,4096,0.02463223222545263,8,5,50,64,16,0.01,0.005,0.005,0.01,1e-05,1e-05,0.01,0.0001,0.3,1.0,logistic_regression,0.25006805027129886,0.49998750497967615,0.5235182262457065,0.2475612588285133,0.4974736127268888,0.6792556014120614,0.3767325139368358,0.05776045357902197,0.3157830897403346,0.09765809005239771,0.3767325139368358,0.05776045357902197,0.3157830897403346,0.09765809005239771,63.47821283340454
17,2025-08-03 18:16:17,4096,0.08414155360045059,6,50,50,16,16,0.01,0.005,0.005,0.01,5e-05,0.01,0.0001,0.0005,0.4,0.5,logistic_regression,0.25009025341352803,0.4999602623452771,0.5488108444596882,0.2471178477002389,0.4968859187521593,0.6949633542915582,0.4356153790462024,0.06598157335223247,0.3625934891909587,0.11164666820381822,0.4356153790462024,0.06598157335223247,0.3625934891909587,0.11164666820381822,79.86638712882996
19,2025-08-03 18:18:23,4096,0.033194519290047506,12,1,50,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.2,1.0,logistic_regression,0.2500579207651672,0.5000151958604662,0.5031919114925614,0.24831793048323283,0.49827610908839287,0.6575659877790152,0.2917166256593897,0.05237420269312545,0.23382548323337263,0.08557957157806104,0.2917166256593897,0.05237420269312545,0.23382548323337263,0.08557957157806104,67.19591665267944
20,2025-08-03 18:19:25,4096,0.09117415336216694,8,100,50,16,16,0.01,0.005,0.005,0.01,0.0005,0.001,0.01,0.0001,0.3,0.5,logistic_regression,0.25002188546719184,0.5000119603341434,0.5311058998194564,0.24905004918934695,0.49903073287433414,0.6878817754657688,0.4398279757020231,0.06385542168674699,0.3576651562938247,0.10836414908717036,0.4398279757020231,0.06385542168674699,0.3576651562938247,0.10836414908717036,61.95543885231018
21,2025-08-03 18:21:15,4096,0.08363166598429797,2,5,50,64,16,0.01,0.005,0.005,0.01,0.0005,0.0005,0.005,0.0001,0.4,0.5,logistic_regression,0.24999796784089418,0.499856156711019,0.5705968231055214,0.2482985308630341,0.49801733561732026,0.6346368894686066,0.4544437387998165,0.07331679659815733,0.3765371372327195,0.12273537975783246,0.4544437387998165,0.07331679659815733,0.3765371372327195,0.12273537975783246,109.38742661476135
22,2025-08-03 18:22:48,4096,0.07653422633385908,8,5,10,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.4,0.5,logistic_regression,0.24997729065138252,0.49997040295388556,0.588626384768533,0.24963289768180483,0.4996174767599856,0.6319747028524714,0.4590312207157495,0.07360028348688874,0.3812946627443056,0.12338407143242114,0.4590312207157495,0.07360028348688874,0.3812946627443056,0.12338407143242114,93.13282513618469
23,2025-08-03 18:24:22,4096,0.07592394691533504,8,5,50,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.4,0.5,logistic_regression,0.24997695994256003,0.49996994383836146,0.5887773454981431,0.2496287693327203,0.49961307282986966,0.6321640241587422,0.4589411646934605,0.07367115520907158,0.38174634194155543,0.1235073056421013,0.4589411646934605,0.07367115520907158,0.38174634194155543,0.1235073056421013,94.20265293121338
24,2025-08-03 18:25:56,4096,0.07332875667712868,8,5,50,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.4,0.5,logistic_regression,0.24997501671227457,0.4999674150362495,0.5897848225488476,0.24960776383258393,0.49959082074381184,0.6334276787319651,0.4608003200134604,0.07445074415308293,0.3852024335360852,0.12478368134216787,0.4608003200134604,0.07445074415308293,0.3852024335360852,0.12478368134216787,93.55899167060852
0,2025-08-03 18:30:06,4096,0.0987649145975439,1,0.01,40,32,64,0.01,0.005,0.01,0.01,0.0005,0.005,0.0005,0.005,0.2,0.5,logistic_regression,0.25009692726373095,0.4998703275874407,0.5440160307213343,0.23348385726086998,0.48289648457360096,0.9622031912697475,0.3715984305882253,0.068781006378455,0.3155409859033721,0.1129429332691876,0.3715984305882253,0.068781006378455,0.3155409859033721,0.1129429332691876,100.13539361953735
1,2025-08-03 18:31:37,4096,0.08345863109537667,8,5,50,64,16,0.01,0.005,0.005,0.01,0.0005,5e-05,0.001,0.0001,0.4,0.5,logistic_regression,0.24998002629326904,0.4999743876762849,0.5884920186695146,0.2496730013594043,0.49966033567208773,0.6304981842076436,0.45992396079469444,0.07342310418143161,0.3822580059880237,0.12318513439105598,0.45992396079469444,0.07342310418143161,0.3822580059880237,0.12318513439105598,90.87173461914062
2,2025-08-03 18:33:59,4096,0.07364288404994689,4,0.5,5,64,64,0.01,0.005,0.01,0.005,0.0001,0.001,1e-05,0.005,0.1,2.0,logistic_regression,0.2506566656097989,0.5000518866364754,0.5436908507618536,0.21771432164021706,0.46613960889184197,0.990567237166609,0.32402842802873877,0.06367824238128986,0.27212443243690765,0.10320588170400898,0.32402842802873877,0.06367824238128986,0.27212443243690765,0.10320588170400898,142.0674979686737
3,2025-08-03 18:35:35,4096,0.06360275502006713,1,10,15,32,32,0.005,0.01,0.01,0.01,5e-05,0.0001,5e-05,5e-05,0.3,0.5,logistic_regression,0.24925973257750045,0.4980474726852663,0.577929604051603,0.22774818110618278,0.4761216355205888,0.898374407214196,0.3773025023245104,0.06367824238128986,0.3267066606589693,0.10658253310004769,0.3773025023245104,0.06367824238128986,0.3267066606589693,0.10658253310004769,96.39439749717712
5,2025-08-03 18:38:27,4096,0.06529387861066029,8,10,30,32,16,0.01,0.01,0.01,0.005,0.001,0.001,0.01,0.0001,0.1,2.0,logistic_regression,0.2499555659773187,0.49995058316028035,0.5758096169572405,0.24858896093752367,0.49858061356266836,0.841895552550709,0.39627361494146246,0.07317505315379164,0.337296472434072,0.12026016793053475,0.39627361494146246,0.07317505315379164,0.337296472434072,0.12026016793053475,86.11134099960327
6,2025-08-03 18:39:46,4096,0.07512436148805442,10,5,30,32,64,0.01,0.005,0.005,0.005,0.01,0.0005,0.005,0.001,0.3,2.0,logistic_regression,0.2499999075979612,0.4999998609536263,0.5383063317918377,0.24998425992954945,0.4999841396702648,0.578454589480643,0.4504080596685689,0.06895818568391213,0.3665668061776888,0.11607959294327864,0.4504080596685689,0.06895818568391213,0.3665668061776888,0.11607959294327864,78.97459530830383
9,2025-08-03 18:44:09,4096,0.06572990587825273,10,0.05,50,64,32,0.005,0.01,0.005,0.005,1e-05,0.0001,0.0005,1e-05,0.2,2.0,logistic_regression,0.25014452938578785,0.5000601542992984,0.542353965918948,0.24392232798505775,0.49383439683037766,0.9482845264781388,0.34277144449546404,0.06484762579730688,0.2949589970910043,0.10632039241169707,0.34277144449546404,0.06484762579730688,0.2949589970910043,0.10632039241169707,140.70618391036987
11,2025-08-03 18:46:39,4096,0.08510576843710212,8,0.1,50,64,16,0.01,0.005,0.005,0.01,0.001,0.01,0.01,0.0001,0.4,0.5,logistic_regression,0.24999902270144872,0.4999968986651782,0.5658199544263792,0.24989878331828605,0.49989362910978996,0.5862076927761928,0.45935992934705216,0.06952515946137491,0.3768704621664811,0.11739353035254592,0.45935992934705216,0.06952515946137491,0.3768704621664811,0.11739353035254592,88.41227412223816
12,2025-08-03 18:48:21,4096,0.04135674504037799,2,0.1,50,64,16,0.005,0.005,0.005,0.01,0.0005,0.01,0.0001,0.0005,0.4,0.5,logistic_regression,0.24998717591800945,0.49991131294521096,0.54438644074764,0.24795091334423122,0.49783828573072003,0.6739240682956473,0.4181802346161738,0.06502480510276401,0.3558994737067218,0.10995941588073747,0.4181802346161738,0.06502480510276401,0.3558994737067218,0.10995941588073747,102.41574668884277
