trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,embedding_k1,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
48,2025-08-01 21:30:25,4096,8.067669928393808,2,5,40,512,16,0.005,0.005,0.05,0.01,5e-06,1e-06,5e-06,5e-05,logistic_regression,0.18875462419463393,0.3276811621092318,0.6600366305002059,0.3633856332833886,0.07161587526576897,0.32762473179936413,0.11753880497780346,0.3633856332833886,0.07161587526576897,0.32762473179936413,0.11753880497780346,131.28149700164795
49,2025-08-01 21:32:25,4096,8.556797128790617,2,5,40,64,16,0.005,0.005,0.05,0.01,5e-06,1e-06,5e-06,5e-05,mlp,0.1833209157830815,0.3217079513843194,0.6696211582504858,0.3752815844086499,0.07367115520907158,0.3463183555233886,0.12149671679665638,0.3752815844086499,0.07367115520907158,0.3463183555233886,0.12149671679665638,119.90216588973999
50,2025-08-01 21:35:11,4096,7.22010138308281,2,5,40,32,256,0.005,0.005,0.01,0.01,5e-06,0.001,5e-06,5e-05,logistic_regression,0.32212940105598337,0.4250847579731254,0.5332230195759867,0.3467494047330412,0.06424521615875266,0.28043561406086387,0.10454104240420486,0.3467494047330412,0.06424521615875266,0.28043561406086387,0.10454104240420486,165.47647857666016
51,2025-08-01 21:37:30,4096,8.72662209659884,2,5,40,512,16,0.005,0.005,0.05,0.01,5e-06,1e-06,5e-06,5e-05,logistic_regression,0.17285815773675917,0.31530628707454605,0.6681156967083017,0.3727553117679077,0.07207654145995748,0.3365298279238682,0.1187250513566135,0.3727553117679077,0.07207654145995748,0.3365298279238682,0.1187250513566135,139.2334544658661
52,2025-08-01 21:38:51,4096,9.60735449172911,18,5,40,256,32,0.005,0.005,0.005,0.01,5e-06,1e-06,5e-06,5e-05,mlp,0.2474327012671991,0.4973960824672579,0.596123492899979,0.4186858671198779,0.06431608788093551,0.30469271427902717,0.10621233571417997,0.4186858671198779,0.06431608788093551,0.30469271427902717,0.10621233571417997,81.01675081253052
53,2025-08-01 21:41:40,4096,8.412234985032937,2,5,45,512,64,0.005,0.005,0.05,0.01,5e-06,5e-06,0.0001,1e-05,logistic_regression,0.15704136284221412,0.31997447784168886,0.6391349278463511,0.4591229019767296,0.07778171509567683,0.34968028111381716,0.12725684267305643,0.4591229019767296,0.07778171509567683,0.34968028111381716,0.12725684267305643,168.8418071269989
54,2025-08-01 21:44:22,4096,7.806165775878594,2,5,45,512,64,0.005,0.005,0.01,0.01,5e-06,5e-06,0.0001,1e-05,mlp,0.15715137908966964,0.3203984501703985,0.6388779019441142,0.45958027624549996,0.07756909992912829,0.3521502303496784,0.12713403602456905,0.45958027624549996,0.07756909992912829,0.3521502303496784,0.12713403602456905,162.56043934822083
55,2025-08-01 21:45:16,4096,4.557275994566962,10,0.5,45,128,512,0.005,0.005,0.05,0.005,1e-05,5e-06,0.0001,1e-05,logistic_regression,0.2542739184267173,0.49574588052033014,0.5121422860159747,0.33322602408002755,0.060949681077250184,0.2647036894260474,0.09908452920695748,0.33322602408002755,0.060949681077250184,0.2647036894260474,0.09908452920695748,53.915199279785156
56,2025-08-01 21:46:11,4096,5.453948408428407,12,0.05,30,128,512,0.005,0.01,0.05,0.005,1e-05,5e-06,0.0005,0.001,logistic_regression,0.24767318384761672,0.49672922439732686,0.5270161933364798,0.3518708224495184,0.06119773210489014,0.2819722845870097,0.10056860153171403,0.3518708224495184,0.06119773210489014,0.2819722845870097,0.10056860153171403,54.67886257171631
57,2025-08-01 21:46:55,4096,5.830184368235631,8,10,25,128,64,0.005,0.005,0.05,0.005,0.0001,1e-05,0.0001,0.0005,logistic_regression,0.24999953167531505,0.4999982623629878,0.5015084736794152,0.2799206751603415,0.05269312544294826,0.21705440100563353,0.08479984918277997,0.2799206751603415,0.05269312544294826,0.21705440100563353,0.08479984918277997,44.34028196334839
58,2025-08-01 21:47:42,4096,7.759735900409889,14,0.1,45,128,512,0.005,0.01,0.05,0.005,1e-05,1e-06,5e-05,1e-05,logistic_regression,0.2537030294860225,0.4981548409064567,0.5101597081309952,0.3144951550802498,0.05832742735648477,0.24597279086649187,0.0942947735937827,0.3144951550802498,0.05832742735648477,0.24597279086649187,0.0942947735937827,46.02117156982422
59,2025-08-01 21:48:42,4096,6.486462888166885,16,100,5,512,128,0.005,0.005,0.01,0.01,0.005,0.0005,1e-06,1e-06,logistic_regression,0.2499967250190853,0.49999661394234096,0.5004097668126939,0.2802474285278974,0.05141743444365698,0.21423893001984953,0.0829313173943405,0.2802474285278974,0.05141743444365698,0.21423893001984953,0.0829313173943405,60.440359354019165
60,2025-08-01 21:49:32,4096,8.173102654600653,8,0.05,30,256,512,0.005,0.005,0.05,0.005,0.001,1e-06,0.0005,0.0005,logistic_regression,0.24999828103332467,0.4999981196078964,0.5024055934555206,0.2818442221217849,0.05276399716513112,0.2097880524867867,0.08432047071326557,0.2818442221217849,0.05276399716513112,0.2097880524867867,0.08432047071326557,49.94325089454651
61,2025-08-01 21:50:35,4096,0.4218542426956958,2,5,30,128,512,0.005,0.005,0.05,0.01,1e-05,1e-06,0.0005,0.0005,mlp,0.31480821407562465,0.4566778188003241,0.5164172884956837,0.3143911795283906,0.05786676116229625,0.24258371981856686,0.09344324649289881,0.3143911795283906,0.05786676116229625,0.24258371981856686,0.09344324649289881,62.54997420310974
62,2025-08-01 21:51:31,4096,3.014575299990228,8,0.05,35,32,64,0.005,0.01,0.05,0.005,5e-06,1e-06,0.005,0.0001,logistic_regression,0.231512437406226,0.4800925580325749,0.6119577175781477,0.45286486434205314,0.06647767540751241,0.31399484101382646,0.10972486168979916,0.45286486434205314,0.06647767540751241,0.31399484101382646,0.10972486168979916,56.492162466049194
