trial_number,timestamp,batch_size,gamma,G,beta,num_bins,embedding_k,pred_lr,impu_lr,prop_lr,dis_lr,lamb_pred,lamb_imp,lamb_prop,dis_lamb,abc_model_name,mse,mae,auc,train_mse,train_mae,train_auc,ndcg_20,precision_20,recall_20,f1_20,ndcg,precision,recall,f1,training_time
44,2025-08-03 14:28:36,4096,0.05051389936670561,8,0.01,40,16,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.13744559624155886,0.3501482159017002,0.7260635326922787,0.16339341401391108,0.37098227990718563,0.7952490918901074,0.437397133052561,0.06158752657689582,0.3197530371339998,0.103281950815298,0.437397133052561,0.06158752657689582,0.3197530371339998,0.103281950815298,64.19401121139526
45,2025-08-03 14:29:28,4096,0.03115630307717366,2,0.1,25,16,0.01,0.01,0.01,0.01,0.01,0.001,5e-05,0.0001,logistic_regression,0.25000000029621633,0.5000000002962088,0.4998751922099745,0.24999999871412018,0.4999999987141081,0.5029167648816034,0.2852844374505926,0.04932671863926293,0.19313204963653494,0.07858301302437541,0.2852844374505926,0.04932671863926293,0.19313204963653494,0.07858301302437541,52.01795148849487
46,2025-08-03 14:30:37,4096,0.05063851267554368,4,100,50,16,0.01,0.01,0.01,0.01,0.0001,0.005,1e-05,0.005,logistic_regression,0.12852981469729632,0.32905853500716536,0.7492295998305845,0.12302074155938966,0.3116786824044363,0.9104596344449265,0.4829289227141774,0.08256555634301914,0.3745501262007752,0.13530465363175218,0.4829289227141774,0.08256555634301914,0.3745501262007752,0.13530465363175218,69.2951889038086
47,2025-08-03 14:31:31,4096,0.040549864438949784,12,0.05,5,16,0.01,0.01,0.01,0.01,0.0005,1e-05,0.0005,5e-05,logistic_regression,0.24999999989497013,0.49999999989388394,0.5205716715273424,0.24999995154921198,0.4999999515482452,0.6019186394719415,0.3148184325050389,0.055031892274982286,0.23358148915250856,0.08907716811252737,0.3148184325050389,0.055031892274982286,0.23358148915250856,0.08907716811252737,54.37143898010254
48,2025-08-03 14:32:23,4096,0.0652024559137369,2,0.01,50,64,0.005,0.005,0.01,0.01,0.005,1e-05,0.001,0.0001,mlp,0.25000759973590825,0.5000049807372724,0.5051684062541248,0.24987854112794963,0.4998756254067054,0.7183015339841488,0.28440945103488624,0.05297661233167966,0.22416718282214196,0.08570004560457227,0.28440945103488624,0.05297661233167966,0.22416718282214196,0.08570004560457227,51.34464430809021
49,2025-08-03 14:33:23,4096,0.046691676668079746,2,10,50,16,0.01,0.01,0.005,0.005,0.001,0.01,5e-05,1e-05,logistic_regression,0.20212063555318127,0.44698603315655017,0.6852541775819088,0.20655675513166624,0.4495711250450025,0.7666596825019241,0.42712094395598055,0.05311835577604537,0.27855406824479095,0.08922257642355033,0.42712094395598055,0.05311835577604537,0.27855406824479095,0.08922257642355033,59.71858358383179
50,2025-08-03 14:34:45,4096,0.057080768868813025,2,0.05,50,16,0.005,0.01,0.01,0.005,0.0001,0.0005,0.0001,0.01,logistic_regression,0.12025720287384674,0.2822551922009436,0.7271676830872096,0.08927624145349983,0.23324245659085466,0.9471269990776034,0.47772295942723964,0.08153791637136783,0.3806250557843276,0.13430489172522625,0.47772295942723964,0.08153791637136783,0.3806250557843276,0.13430489172522625,82.19351410865784
51,2025-08-03 14:35:45,4096,0.036511112489442124,2,100,20,16,0.005,0.01,0.01,0.005,0.0001,1e-05,0.01,1e-05,logistic_regression,0.1117631164859408,0.25772322674290316,0.7419609681155873,0.09436740184308805,0.23191418071346254,0.9357209474882151,0.47856434700578265,0.07983699503897945,0.3891166091701336,0.1324902954879423,0.47856434700578265,0.07983699503897945,0.3891166091701336,0.1324902954879423,59.83359909057617
52,2025-08-03 14:37:21,4096,0.09398250443362358,2,0.01,50,64,0.005,0.01,0.01,0.005,0.0001,1e-05,0.01,1e-05,logistic_regression,0.11053641733107467,0.2803556720515924,0.7466645853340428,0.04680763975105195,0.18120746468345145,0.9972396532835255,0.49481807274929224,0.08447909284195607,0.3885413140894521,0.13878309377319584,0.49481807274929224,0.08447909284195607,0.3885413140894521,0.13878309377319584,96.6273295879364
53,2025-08-03 14:38:24,4096,0.09458342480644032,8,0.01,50,64,0.01,0.01,0.01,0.01,0.0001,1e-05,5e-05,0.0001,logistic_regression,0.1909858048135652,0.4319353774705897,0.6794163946791923,0.19456223356703492,0.4312724425874902,0.7617058394327885,0.40974891568787675,0.0514528703047484,0.2635326512401068,0.08609609266369267,0.40974891568787675,0.0514528703047484,0.2635326512401068,0.08609609266369267,62.57374382019043
